pixel_x,pixel_y,square_x,square_y
1246.1048387096776,530.6905107526882,18.0,6.0
1211.965053763441,499.28190860215057,18.0,7.0
1178.1666666666667,469.23889784946243,18.0,8.0
1149.8306451612902,444.99965053763447,18.0,9.0
1123.5430107526881,424.8571774193549,18.0,10.0
1102.034946236559,406.4216935483871,18.0,11.0
1084.965053763441,393.7899731182796,18.0,12.0
1296.6317204301076,536.152876344086,19.0,6.0
1259.0779569892475,502.0130913978495,19.0,7.0
1225.279569892473,472.99427419354845,19.0,8.0
1193.8709677419356,449.0964247311828,19.0,9.0
1167.241935483871,429.2953494623656,19.0,10.0
1143.002688172043,411.5426612903226,19.0,11.0
1123.2016129032259,398.56954301075274,19.0,12.0
1335.2096774193549,538.2012634408602,20.0,6.0
1301.0698924731182,504.74427419354845,20.0,7.0
1265.5645161290322,477.77384408602154,20.0,8.0
1234.8387096774195,453.5345967741936,20.0,9.0
1205.8198924731182,434.07491935483876,20.0,10.0
1181.239247311828,417.0050268817205,20.0,11.0
1160.0725806451615,401.642123655914,20.0,12.0
1374.1290322580646,542.2980376344086,21.0,6.0
1337.258064516129,510.5480376344086,21.0,7.0
1304.1424731182797,482.894811827957,21.0,8.0
1270.6854838709678,458.65556451612906,21.0,9.0
1243.3736559139784,438.8544892473119,21.0,10.0
1216.4032258064517,421.44319892473123,21.0,11.0
1194.2123655913979,408.81147849462366,21.0,12.0
1402.465053763441,544.0050268817205,22.0,6.0
1369.6908602150538,514.644811827957,22.0,7.0
1336.233870967742,487.6743817204301,22.0,8.0
1305.508064516129,464.4593279569893,22.0,9.0
1275.8064516129032,443.97545698924733,22.0,10.0
1249.1774193548388,426.90556451612906,22.0,11.0
1228.010752688172,413.24965053763447,22.0,12.0
1430.4596774193549,546.7362096774193,23.0,6.0
1399.3924731182797,519.0829838709678,23.0,7.0
1366.27688172043,493.8195430107527,23.0,8.0
1334.8682795698926,470.9458870967742,23.0,9.0
1304.8252688172042,451.144811827957,23.0,10.0
1277.8548387096776,432.36793010752694,23.0,11.0
1255.6639784946237,417.68782258064516,23.0,12.0
1454.3575268817206,548.4431989247312,24.0,6.0
1422.266129032258,522.8383602150539,24.0,7.0
1391.8817204301076,497.9163172043011,24.0,8.0
1360.47311827957,474.70126344086026,24.0,9.0
1331.7956989247311,454.55879032258065,24.0,10.0
1304.483870967742,437.8302956989248,24.0,11.0
1285.024193548387,424.5157795698925,24.0,12.0
